City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,queenstown,-31.8976,26.8753,16.52,41,6,2.38,ZA,1690386956
193,puerto ayora,-0.7393,-90.3518,27.98,89,42,4.92,EC,1690386957
194,zanjan,36.6736,48.4787,29.83,30,20,2.06,IR,1690386957
195,mermoz boabab,14.7065,-17.4758,32.31,66,20,1.03,SN,1690386957
196,pisco,-13.7,-76.2167,20.03,73,100,3.09,PE,1690386887
197,hithadhoo,-0.6,73.0833,28.5,78,54,7.06,MV,1690386957
198,namibe,-15.1961,12.1522,18.52,79,17,3.15,AO,1690386957
199,qaqortoq,60.7167,-46.0333,6.82,84,100,2.75,GL,1690386957
200,san bernardo del viento,9.3533,-75.9524,26.75,88,100,5.3,CO,1690386958
201,touros,-5.1989,-35.4608,29.45,58,12,8.13,BR,1690386699
202,mwinilunga,-11.7358,24.4293,23.54,23,5,2.42,ZM,1690386959
203,anse royale,-4.7333,55.5167,25.32,83,40,5.66,SC,1690386959
204,wellington,-41.2866,174.7756,7.81,87,89,7.72,NZ,1690386875
205,limon,10.0,-83.0333,26.7,94,100,2.57,CR,1690386959
206,toliara,-23.35,43.6667,22.72,41,0,6.68,MG,1690386959
207,swift current,50.2834,-107.8014,21.45,37,0,8.23,CA,1690386831
208,novodvinsk,64.4165,40.8122,18.7,62,95,1.82,RU,1690386960
209,adam,22.3756,57.5233,34.16,45,100,4.42,OM,1690386960
210,la palma,33.8464,-118.0467,33.06,79,20,1.54,US,1690386960
211,laojunmiao,39.8333,97.7333,24.96,26,95,3.41,CN,1690386961
212,saint-philippe,-21.3585,55.7679,22.77,81,39,4.64,RE,1690386961
213,arar,30.9753,41.0381,42.01,6,0,1.54,SA,1690386962
214,recife,-8.0539,-34.8811,28.02,74,40,6.17,BR,1690386836
215,bechar,31.6167,-2.2167,43.18,7,40,4.12,DZ,1690386963
216,conception bay south,47.4999,-52.9981,29.47,52,61,3.89,CA,1690386964
217,pingxiang,27.6167,113.85,26.23,86,100,1.54,CN,1690386965
218,zyryanovsk,49.7386,84.2719,22.26,42,100,1.43,KZ,1690386966
219,rongelap,11.1635,166.8941,28.19,80,100,6.97,MH,1690386966
220,necochea,-38.5473,-58.7368,11.35,73,28,8.48,AR,1690386968
221,yuzhno-kurilsk,44.0306,145.8556,17.47,97,42,1.63,RU,1690386968
222,stephenville,32.2207,-98.2023,34.31,48,0,4.12,US,1690386969
223,chonchi,-42.6128,-73.8092,8.95,83,100,1.23,CL,1690386969
